French,English
partie,part
chercher,search
seulement,only
pensais,thought
demande,request
frère,brother
laisser,let
car,because
mettre,to put
chaque,each
parlé,speak
bébé,baby
pendant,while
aucune,any
compris,understood
savais,knew
attention,Warning
affaire,case
donner,give
donné,given
train,train
endroit,place
yeux,eyes
écoute,listen
dont,whose
trouve,find
premier,first
main,hand
première,first
côté,side
pouvoir,power
vieux,old
tiens,here
matin,morning
tellement,so much
enfant,child
suite,after
venez,come
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
eau,water
attendez,Wait
nouvelle,new
boulot,job
arrêter,Stop
donne,given
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
bureau,office
